time,mtgox,campbx,bitce,
206,125.11671,129.5,118.39,
207,125.11671,129.5,118.38,
208,125.11671,129.5,118.235,
209,125.11671,129.5,118.38,
210,125.11671,129.5,118.38,
211,125.97999,129.5,118.38,
212,125.97999,129.5,118.226,
213,125.97999,129.5,118.235,
214,125.97999,129.5,118.235,
215,125.97998,129.5,118.235,
216,125.97998,129.5,118.235,
217,125.97998,129.5,118.235,
218,125.97998,129.5,118.235,
219,125.97997,129.5,118.235,
220,125.97997,129.5,118.235,
221,125.97997,129.5,118.235,
222,125.97997,129.5,118.235,
223,125.97998,129.5,118.235,
224,125.97998,129.5,118.27,
225,125.97998,129.5,118.27,
226,125.97998,129.5,118.27,
227,125.0,129.5,118.27,
228,125.0,129.5,118.27,
229,125.0,129.5,118.235,
230,125.0,129.5,118.263,
231,125.0,129.5,118.263,
232,125.0,129.5,118.263,
233,125.0,129.5,118.263,
234,125.0,129.5,118.235,
235,123.5,129.5,118.235,
236,123.5,129.5,118.235,
237,123.5,129.5,118.01,
238,123.5,129.5,118.01,
239,124.03001,129.5,118.01,
240,124.03001,129.5,118.01,
241,124.03001,129.5,118.01,
242,124.03001,129.5,117.0,
243,124.0,129.5,117.0,
244,124.0,129.5,117.0,
245,124.0,129.5,117.0,
246,124.0,127.5,117.0,
247,123.82994,127.5,117.0,
248,123.82994,127.5,116.95,
249,123.82994,127.5,116.95,
250,123.82994,127.5,116.95,
251,123.82994,127.5,116.95,
252,123.82994,127.5,117.0,
253,123.82994,127.5,116.9,
254,124.0,127.5,117.0,
255,124.0,127.5,117.0,
256,124.0,127.5,117.0,
257,124.0,127.5,117.0,
258,124.03001,127.5,117.0,
259,124.03001,127.5,117.0,
260,124.03001,127.5,116.95,
261,124.03001,127.5,116.701,
262,124.03,127.5,116.6,
263,124.03,127.5,116.701,
264,124.03,127.5,116.701,
265,123.5,127.5,116.7,
266,123.5,127.5,116.701,
267,123.5,127.5,116.7,
268,124.19987,127.5,116.7,
269,124.19987,127.5,116.7,
270,124.19987,127.5,116.7,
271,124.19987,127.5,116.7,
272,123.5,127.5,116.7,
273,123.5,127.5,117.0,
274,123.5,127.5,117.0,
275,123.5,127.5,117.0,
276,123.61,127.5,117.0,
277,123.61,127.5,117.0,
278,123.61,127.5,117.0,
279,123.61,127.5,116.98,
280,123.61,127.5,116.98,
281,123.60997,127.5,116.9,
282,123.60997,127.5,116.9,
283,123.60997,127.5,116.5,
284,125.69048,127.5,116.0,
285,125.69048,127.5,116.4,
286,125.69048,127.5,116.4,
287,125.69048,127.5,116.4,
288,124.88987,127.5,116.4,
289,124.88987,127.5,116.0,
290,124.88987,127.5,116.4,
291,124.19999,127.5,116.4,
292,124.19999,127.5,116.4,
293,124.19999,127.5,116.4,
294,124.19999,127.5,116.4,
295,124.19999,127.5,116.39,
296,124.2,127.5,116.1,
297,124.2,127.5,116.1,
298,124.2,127.5,116.39,
299,124.1,127.5,116.39,
300,124.1,127.5,116.39,
